m_N,y,sin2_2theta,omega_h2_scan,omega_h2,converged,retcode,lambda_fs_Mpc,lambda_fs_eq_Mpc,lambda_fs_free_Mpc,v_end,x_kd,lambda_fs_kd_Mpc,r_s_Mpc,x_kd3,lambda_fs_kd3_Mpc,r_s3_Mpc,x_kd_old,lambda_fs_kd_old_Mpc,r_s_old_Mpc
1.011e-6,5.623e-5,2.7569148726096854e-13,0.11988726796341381,0.11988726796341381,true,Success,2.036550030574459,0.9949534296883928,1.0415966008860664,0.03336134598175784,7.775228126158621,1.6649756328559102,0.12785777598313094,4.0,1.6547668236996897,0.02723083898077769,301.79013576366185,0.7704278561233429,0.8564386214329067
1.011e-6,0.0001,9.415337076115626e-14,0.11999909299367584,0.11999909299367584,true,Success,2.0510517860881126,1.00066616126515,1.0503856248229624,0.03364241057124185,26.987570073916313,1.3862565271055622,0.3691878566054236,15.257388726441736,1.524887680983881,0.25330064726838947,899.8358248669809,0.5282980409007451,1.0610901857096937
1.011e-6,0.0001778,3.179862344748077e-14,0.11980012831653437,0.11980012831653437,true,Success,2.0589789221322707,1.003363242977627,1.0556156791546436,0.03380965746765165,85.54047652936593,1.0979290973112361,0.6076929156005465,49.53604622466989,1.2388672636679836,0.49397451898982475,2528.8327487244987,0.3333400685673966,1.223653630687362
1.011e-6,0.0003162,1.046751761282983e-14,0.11937556901334193,0.11937556901334193,true,Success,2.047887885301178,0.9974715802269406,1.0504163050742374,0.03364339166756046,263.09753787531764,0.8100780443397523,0.8307600692010637,154.00390432775475,0.9420152916246437,0.7241351032589923,6717.465711483616,0.1925532567996113,1.3302578744965174
1.011e-6,0.0005623,3.283176453877441e-15,0.12034844641698934,0.12034844641698934,true,Success,2.015653859731697,0.9815176283478538,1.034136231383843,0.03312276189371516,782.9369535219236,0.5494485557189153,1.020509077467589,467.2391551525261,0.6633663669190044,0.9283643742376385,17288.187367204013,0.09840451276053964,1.3853719347895133
1.011e-6,0.001,9.160096763743601e-16,0.12566715811183982,0.12566715811183982,true,Success,2.046572703138175,0.9885432427779347,1.0580294603602403,0.03388684422918504,2280.152227392369,0.35174174881796627,1.2130916008005557,1399.6943983324072,0.4417576184127419,1.140274882775965,45123.28710938371,0.03898784547595096,1.4660899716630316
1.011e-6,0.001778,1.9147141007444747e-16,0.11885138368747414,0.11885138368747414,true,Success,2.302658651637189,1.0788396590804363,1.223818992556753,0.03918626558286133,6335.173539341899,0.23249567376723732,1.533303260633192,3985.0226195042387,0.3040914544809337,1.4753847324386131,117981.90551778383,0.0,1.7214052608235024
1.011e-6,0.003162,4.448571152260386e-17,0.1208401462800155,0.1208401462800155,true,Success,2.7858680070737076,1.2485922449269231,1.5372757621467843,0.04919283718570982,18087.811269202488,0.14103443423642195,2.0067452656390175,11541.184452038222,0.19747455285596782,1.961085891051062,327321.0278612453,0.0,2.1507912919222374
1.011e-6,0.005623,1.2292808874807773e-17,0.11917665627714275,0.11917656973028787,false,Success,3.353911615091874,1.4375692288320074,1.9163423862598667,0.06126617977176774,49898.17328826331,0.061526494653447505,2.5209211421635422,32031.59232348099,0.10478258318114399,2.4859269946436235,Inf,0.0,2.6145848564094076
1.011e-6,0.01,3.7165099949146875e-18,0.12030390317149468,0.12026851469651785,false,Success,4.069043653967956,1.6599918106352192,2.4090518433327364,0.07690259508881385,138339.52050959732,0.0,3.137952151171971,89022.6333440258,0.021775600701211355,3.1113459198315243,Inf,0.0,3.184094159370304
